ShareCode,MA_std,RSI,Price/BB_up,Price/BB_down,Price/KijunSen,Price/TenkanSen,Price/MA_20,Price/MA_50,Price/MA_100,San,Nganh,So_huu_nha_nuoc,So_huu_nuoc_ngoai,DTT_2018,TT_DTT,EPS_2018,LNST_2018,TT_LNST,TTS_2018,TT_TTS,VCSH_2018,EBITDA,EBITDA_per,ROE,ROA,EV,EV/EBITDA,P/E,P/B,Book_value,Market_size,TTS/VCSH
SDG,> 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,>= 1,>= 1,HNX,Hàng công nghiệp L3,0.0,0.0033,350 ty => 1150 ty,> 0.1,> 2500,13 ty => 65 ty,0 => 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,0.1 => 0.2,0.05 => 0.1,180 ty => 750 ty,4 => 9,5 => 8,0.5 => 0.8,190 ty => 550 ty,150 ty => 600 ty,1.5 => 2
XPH,<= 0.3,<= 30,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Hàng cá nhân L3,0.8,7.70863e-05,<= 115 ty,> 0.1,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,<= 0,70 ty => 200 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,<= 1,<= 5,<= 0.5,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
SDY,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0352666667,0.0028222222,<= 115 ty,> 0.1,<= 250,<= 2 ty,<= 0,<= 170 ty,> 0.1,<= 70 ty,<= 8 ty,<= 0.05,> 0.2,<= 0.01,40 ty => 180 ty,<= 1,<= 5,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
SBS,<= 0.3,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Dịch vụ tài chính L3,0.0,0.0059120243,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,0 => 0.1,200 ty => 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,> 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,2 => 3
UDJ,<= 0.3,<= 30,0.9 => 1,1 => 1.1,<= 1,> 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.51,0.0730363636,<= 115 ty,<= 0,1000 => 2500,13 ty => 65 ty,<= 0,450 ty => 1450 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,> 0.2,0.1 => 0.2,0.05 => 0.1,180 ty => 750 ty,> 9,<= 5,0.5 => 0.8,190 ty => 550 ty,50 ty => 150 ty,2 => 3
HNR,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bia và đồ uống L3,0.54290205,0.45567565,115 ty => 350 ty,<= 0,<= 250,<= 2 ty,0 => 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,180 ty => 750 ty,<= 1,<= 5,0.5 => 0.8,190 ty => 550 ty,150 ty => 600 ty,<= 1.5
KSQ,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,> 1,<= 1,<= 1,<= 1,HNX,Khai khoáng L3,0.0,0.0043,<= 115 ty,<= 0,<= 250,2 ty => 13 ty,<= 0,170 ty => 450 ty,0 => 0.1,200 ty => 600 ty,<= 8 ty,> 0.2,<= 0.05,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,<= 0.5,190 ty => 550 ty,50 ty => 150 ty,<= 1.5
HNP,> 0.7,No info,0.9 => 1,> 1.1,<= 1,> 1,>= 1,<= 1,<= 1,UPCOM,Hóa chất L3,0.0,0.0267,350 ty => 1150 ty,0 => 0.1,1000 => 2500,2 ty => 13 ty,<= 0,170 ty => 450 ty,<= 0,70 ty => 200 ty,36 ty => 140 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,40 ty => 180 ty,4 => 9,5 => 8,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,1.5 => 2
PBK,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Sản xuất & Phân phối Điện L3,0.0,0.0,<= 115 ty,0 => 0.1,<= 250,<= 2 ty,> 0.2,<= 170 ty,<= 0,70 ty => 200 ty,<= 8 ty,> 0.2,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,> 18,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
HNT,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Du lịch & Giải trí L3,0.51,0.0,115 ty => 350 ty,0 => 0.1,250 => 1000,2 ty => 13 ty,> 0.2,<= 170 ty,<= 0,<= 70 ty,8 ty => 36 ty,<= 0.05,<= 0.05,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,<= 0.5,<= 70 ty,<= 50 ty,2 => 3
VIT,<= 0.3,30 => 70,> 1,1 => 1.1,> 1,> 1,>= 1,>= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.51,0.0092,> 1150 ty,> 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,> 140 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,> 750 ty,4 => 9,5 => 8,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,> 3
ICN,> 0.7,No info,> 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Xây dựng và Vật liệu L3,0.51,2.6e-06,115 ty => 350 ty,<= 0,> 2500,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,<= 0,70 ty => 200 ty,36 ty => 140 ty,0.1 => 0.2,> 0.2,0.01 => 0.05,> 750 ty,> 9,8 => 18,<= 0.5,<= 70 ty,150 ty => 600 ty,> 3
SDT,<= 0.3,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.6226531254,0.0648,> 1150 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,<= 0.05,<= 0.01,> 750 ty,4 => 9,8 => 18,<= 0.5,> 550 ty,150 ty => 600 ty,> 3
AGX,<= 0.3,No info,0.9 => 1,<= 1,> 1,<= 1,<= 1,>= 1,>= 1,UPCOM,Phân phối thực phẩm & dược phẩm L3,0.1833333333,0.1788148148,350 ty => 1150 ty,0 => 0.1,> 2500,13 ty => 65 ty,<= 0,450 ty => 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,0.1 => 0.2,0.1 => 0.2,> 0.1,180 ty => 750 ty,4 => 9,5 => 8,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,<= 1.5
SDV,> 0.7,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.2,0.00066,115 ty => 350 ty,> 0.1,> 2500,13 ty => 65 ty,0 => 0.2,170 ty => 450 ty,> 0.1,70 ty => 200 ty,36 ty => 140 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,180 ty => 750 ty,4 => 9,5 => 8,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,> 3
HVA,<= 0.3,<= 30,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Sản xuất thực phẩm L3,0.0,0.0,<= 115 ty,<= 0,No info,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,<= 40 ty,<= 1,No info,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
SHB,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,>= 1,<= 1,HNX,Ngân hàng L3,0.0193999996,0.1072208223,> 1150 ty,> 0.1,1000 => 2500,> 65 ty,> 0.2,> 1450 ty,> 0.1,> 600 ty,> 140 ty,0.1 => 0.2,0.1 => 0.2,<= 0.01,> 750 ty,> 9,<= 5,0.5 => 0.8,> 550 ty,> 600 ty,> 3
PLC,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Hóa chất L3,0.7907200127,0.0263,> 1150 ty,0 => 0.1,1000 => 2500,> 65 ty,<= 0,> 1450 ty,0 => 0.1,> 600 ty,> 140 ty,0.05 => 0.1,0.1 => 0.2,0.01 => 0.05,> 750 ty,> 9,5 => 8,0.8 => 1.5,> 550 ty,> 600 ty,> 3
SCI,> 0.7,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,HNX,Xây dựng và Vật liệu L3,0.421488718,0.0335,350 ty => 1150 ty,> 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,<= 0,70 ty => 200 ty,36 ty => 140 ty,0.05 => 0.1,0.1 => 0.2,0.01 => 0.05,> 750 ty,> 9,5 => 8,0.8 => 1.5,70 ty => 190 ty,150 ty => 600 ty,> 3
VEF,> 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Truyền thông L3,0.1,5.5221e-06,<= 115 ty,<= 0,<= 250,13 ty => 65 ty,0 => 0.2,> 1450 ty,0 => 0.1,> 600 ty,36 ty => 140 ty,> 0.2,<= 0.05,0.01 => 0.05,> 750 ty,> 9,> 18,> 1.5,> 550 ty,> 600 ty,<= 1.5
HHC,> 0.7,> 70,> 1,> 1.1,> 1,> 1,>= 1,>= 1,<= 1,HNX,Sản xuất thực phẩm L3,0.0,0.0036,350 ty => 1150 ty,<= 0,> 2500,13 ty => 65 ty,<= 0,450 ty => 1450 ty,> 0.1,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,0.1 => 0.2,0.05 => 0.1,> 750 ty,> 9,> 18,> 1.5,190 ty => 550 ty,> 600 ty,2 => 3
HVN,> 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,> 1,<= 1,<= 1,<= 1,HOSE,Du lịch & Giải trí L3,0.8618600998,0.1007,> 1150 ty,0 => 0.1,1000 => 2500,> 65 ty,> 0.2,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,> 750 ty,> 9,> 18,> 1.5,> 550 ty,> 600 ty,> 3
PJS,0.3 => 0.7,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.7039111111,0.0697442222,115 ty => 350 ty,0 => 0.1,250 => 1000,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,40 ty => 180 ty,1 => 4,8 => 18,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,1.5 => 2
NAG,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Điện tử & Thiết bị điện L3,0.0,0.0456,350 ty => 1150 ty,> 0.1,250 => 1000,2 ty => 13 ty,> 0.2,450 ty => 1450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,180 ty => 750 ty,> 9,5 => 8,<= 0.5,190 ty => 550 ty,50 ty => 150 ty,> 3
FGL,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bia và đồ uống L3,0.0,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,> 0.1,70 ty => 200 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,180 ty => 750 ty,<= 1,> 18,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,1.5 => 2
VGL,> 0.7,<= 30,0.9 => 1,1 => 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Kim loại L3,0.5100322729,0.0,115 ty => 350 ty,> 0.1,1000 => 2500,13 ty => 65 ty,<= 0,<= 170 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,0.1 => 0.2,> 0.1,180 ty => 750 ty,> 9,8 => 18,> 1.5,70 ty => 190 ty,150 ty => 600 ty,<= 1.5
NAC,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.4857142857,0.0,115 ty => 350 ty,0 => 0.1,1000 => 2500,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,> 0.1,<= 70 ty,8 ty => 36 ty,<= 0.05,0.1 => 0.2,0.01 => 0.05,40 ty => 180 ty,> 9,<= 5,<= 0.5,<= 70 ty,<= 50 ty,> 3
HHN,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Vận tải L3,0.5107083333,0.0,<= 115 ty,<= 0,250 => 1000,<= 2 ty,0 => 0.2,<= 170 ty,0 => 0.1,<= 70 ty,<= 8 ty,0.1 => 0.2,<= 0.05,0.01 => 0.05,<= 40 ty,1 => 4,> 18,0.5 => 0.8,<= 70 ty,<= 50 ty,<= 1.5
DPP,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Dược phẩm L3,0.5099999667,0.0,115 ty => 350 ty,> 0.1,1000 => 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,> 0.1,<= 70 ty,8 ty => 36 ty,<= 0.05,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,> 9,8 => 18,0.8 => 1.5,<= 70 ty,<= 50 ty,2 => 3
VNI,0.3 => 0.7,> 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Bất động sản L3,0.0,0.0004371214,<= 115 ty,> 0.1,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,> 0.1,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,180 ty => 750 ty,<= 1,<= 5,> 1.5,<= 70 ty,50 ty => 150 ty,> 3
C92,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,>= 1,>= 1,HNX,Xây dựng và Vật liệu L3,0.0,0.0039,115 ty => 350 ty,<= 0,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,> 0.1,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,> 18,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
BMS,0.3 => 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Dịch vụ tài chính L3,0.0,0.0,115 ty => 350 ty,<= 0,250 => 1000,13 ty => 65 ty,<= 0,450 ty => 1450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,0.1 => 0.2,0.05 => 0.1,0.01 => 0.05,180 ty => 750 ty,4 => 9,5 => 8,<= 0.5,190 ty => 550 ty,150 ty => 600 ty,<= 1.5
C36,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.0,115 ty => 350 ty,<= 0,1000 => 2500,<= 2 ty,0 => 0.2,<= 170 ty,0 => 0.1,<= 70 ty,<= 8 ty,<= 0.05,0.1 => 0.2,0.01 => 0.05,40 ty => 180 ty,> 9,5 => 8,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
LTG,<= 0.3,> 70,0.9 => 1,1 => 1.1,<= 1,> 1,>= 1,>= 1,>= 1,UPCOM,Hóa chất L3,0.241532613,0.4431446693,> 1150 ty,<= 0,> 2500,> 65 ty,> 0.2,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.05 => 0.1,0.1 => 0.2,0.05 => 0.1,> 750 ty,4 => 9,5 => 8,0.8 => 1.5,> 550 ty,> 600 ty,> 3
DPH,0.3 => 0.7,No info,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Dược phẩm L3,0.0,0.0020666667,115 ty => 350 ty,<= 0,> 2500,13 ty => 65 ty,0 => 0.2,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,0.1 => 0.2,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,4 => 9,<= 5,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
M10,<= 0.3,No info,> 1,1 => 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Hàng cá nhân L3,0.3382076058,0.0,> 1150 ty,> 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,> 1450 ty,<= 0,200 ty => 600 ty,> 140 ty,0.05 => 0.1,0.1 => 0.2,0.01 => 0.05,> 750 ty,4 => 9,8 => 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,> 3
BMJ,> 0.7,No info,<= 0.9,> 1.1,<= 1,<= 1,<= 1,>= 1,<= 1,UPCOM,Khai khoáng L3,0.7466,0.00135,<= 115 ty,> 0.1,1000 => 2500,13 ty => 65 ty,0 => 0.2,<= 170 ty,> 0.1,70 ty => 200 ty,8 ty => 36 ty,> 0.2,0.1 => 0.2,> 0.1,40 ty => 180 ty,1 => 4,5 => 8,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
LTC,<= 0.3,30 => 70,<= 0.9,> 1.1,> 1,<= 1,<= 1,>= 1,>= 1,UPCOM,Thiết bị và Phần cứng L3,0.1526384649,0.0240187527,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,<= 0,<= 70 ty,<= 8 ty,0.1 => 0.2,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,> 18,<= 0.5,<= 70 ty,<= 50 ty,> 3
TVU,0.3 => 0.7,<= 30,<= 0.9,> 1.1,<= 1,> 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.64,0.0210285714,<= 115 ty,> 0.1,1000 => 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,> 0.1,<= 70 ty,<= 8 ty,0.1 => 0.2,> 0.2,> 0.1,<= 40 ty,1 => 4,5 => 8,0.5 => 0.8,<= 70 ty,<= 50 ty,<= 1.5
BMN,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.7496727273,0.0,<= 115 ty,<= 0,250 => 1000,2 ty => 13 ty,0 => 0.2,<= 170 ty,> 0.1,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,0.1 => 0.2,0.05 => 0.1,40 ty => 180 ty,4 => 9,5 => 8,0.5 => 0.8,<= 70 ty,<= 50 ty,2 => 3
DPC,> 0.7,<= 30,<= 0.9,> 1.1,<= 1,> 1,<= 1,<= 1,<= 1,HNX,Hàng công nghiệp L3,0.0,0.0128,<= 115 ty,> 0.1,250 => 1000,2 ty => 13 ty,> 0.2,<= 170 ty,> 0.1,<= 70 ty,<= 8 ty,<= 0.05,0.05 => 0.1,0.05 => 0.1,<= 40 ty,4 => 9,8 => 18,0.8 => 1.5,<= 70 ty,<= 50 ty,<= 1.5
BGW,0.3 => 0.7,No info,0.9 => 1,1 => 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Nước & Khí đốt L3,0.8586017446,0.0,115 ty => 350 ty,> 0.1,<= 250,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,> 0.2,<= 0.05,0.01 => 0.05,180 ty => 750 ty,> 9,> 18,> 1.5,70 ty => 190 ty,150 ty => 600 ty,<= 1.5
THW,> 0.7,No info,<= 0.9,> 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Nước & Khí đốt L3,0.65,0.00186,115 ty => 350 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,40 ty => 180 ty,> 9,> 18,0.8 => 1.5,<= 70 ty,50 ty => 150 ty,1.5 => 2
BMD,> 0.7,No info,<= 0.9,> 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.5296954905,0.0,<= 115 ty,> 0.1,250 => 1000,2 ty => 13 ty,0 => 0.2,<= 170 ty,0 => 0.1,<= 70 ty,<= 8 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,0.5 => 0.8,<= 70 ty,<= 50 ty,> 3
THU,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.5245300641,0.0,115 ty => 350 ty,> 0.1,250 => 1000,2 ty => 13 ty,<= 0,170 ty => 450 ty,0 => 0.1,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,0.1 => 0.2,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,0.8 => 1.5,<= 70 ty,<= 50 ty,> 3
ITS,<= 0.3,30 => 70,<= 0.9,> 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Công nghiệp nặng L3,0.28,0.0,350 ty => 1150 ty,> 0.1,<= 250,<= 2 ty,<= 0,450 ty => 1450 ty,0 => 0.1,70 ty => 200 ty,36 ty => 140 ty,<= 0.05,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,> 18,<= 0.5,70 ty => 190 ty,50 ty => 150 ty,> 3
SPC,> 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,> 1,<= 1,<= 1,>= 1,UPCOM,Hóa chất L3,0.5932592593,0.0786068376,> 1150 ty,0 => 0.1,> 2500,13 ty => 65 ty,0 => 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,0.1 => 0.2,0.05 => 0.1,180 ty => 750 ty,> 9,5 => 8,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,> 3
ITQ,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Kim loại L3,0.0,0.0011,350 ty => 1150 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,170 ty => 450 ty,0 => 0.1,200 ty => 600 ty,8 ty => 36 ty,0.05 => 0.1,<= 0.05,0.01 => 0.05,180 ty => 750 ty,4 => 9,8 => 18,<= 0.5,190 ty => 550 ty,50 ty => 150 ty,1.5 => 2
APS,<= 0.3,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Dịch vụ tài chính L3,0.0,0.3002525641,115 ty => 350 ty,<= 0,<= 250,<= 2 ty,> 0.2,170 ty => 450 ty,<= 0,200 ty => 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,> 18,<= 0.5,190 ty => 550 ty,50 ty => 150 ty,<= 1.5
GMX,0.3 => 0.7,<= 30,0.9 => 1,<= 1,> 1,<= 1,<= 1,>= 1,>= 1,HNX,Xây dựng và Vật liệu L3,0.0,0.02,115 ty => 350 ty,> 0.1,> 2500,13 ty => 65 ty,0 => 0.2,<= 170 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,0.1 => 0.2,> 0.2,> 0.1,40 ty => 180 ty,4 => 9,8 => 18,> 1.5,<= 70 ty,50 ty => 150 ty,1.5 => 2
PVA,<= 0.3,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.51,0.0007971253,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,450 ty => 1450 ty,<= 0,<= 70 ty,<= 8 ty,> 0.2,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,5 => 8,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
HTU,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.9384306801,0.0,<= 115 ty,> 0.1,<= 250,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,0.1 => 0.2,<= 0.05,0.01 => 0.05,180 ty => 750 ty,> 9,> 18,0.8 => 1.5,70 ty => 190 ty,150 ty => 600 ty,<= 1.5
PVG,0.3 => 0.7,<= 30,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Nước & Khí đốt L3,0.2725104384,0.0072,> 1150 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,> 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,<= 0.05,<= 0.05,<= 0.01,> 750 ty,> 9,8 => 18,0.5 => 0.8,190 ty => 550 ty,150 ty => 600 ty,> 3
PVE,<= 0.3,<= 30,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,"Thiết bị, Dịch vụ và Phân phối Dầu khí L3",0.29,0.1196,> 1150 ty,<= 0,<= 250,<= 2 ty,<= 0,> 1450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,<= 0.05,<= 0.01,> 750 ty,> 9,> 18,<= 0.5,190 ty => 550 ty,50 ty => 150 ty,> 3
HRG,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,No info,No info,No info,No info,0.0,0.0,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info
PVX,<= 0.3,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,HNX,Xây dựng và Vật liệu L3,0.5446833325,0.0072,> 1150 ty,<= 0,<= 250,<= 2 ty,0 => 0.2,> 1450 ty,<= 0,> 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,> 750 ty,<= 1,<= 5,<= 0.5,> 550 ty,150 ty => 600 ty,> 3
PVY,<= 0.3,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.3628337079,0.0039827509,350 ty => 1150 ty,> 0.1,<= 250,<= 2 ty,<= 0,450 ty => 1450 ty,<= 0,<= 70 ty,8 ty => 36 ty,<= 0.05,> 0.2,<= 0.01,> 750 ty,> 9,<= 5,<= 0.5,<= 70 ty,50 ty => 150 ty,<= 1.5
I10,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.9683114286,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,0.01 => 0.05,40 ty => 180 ty,> 9,<= 5,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
